pdv;premise;categoria_pdv;zipcode
8922826505099161246;Off Premise;Grocery;30097
4362154852095114503;On Premise;Mexican Rest;30736
4154310589344653421;On Premise;Restaurant;30075
912519519024734036;On Premise;Other On Premise;80903
6771540649778073900;Off Premise;Convenience;30752
1145418138551688278;On Premise;Bar;30342
2972859819353412577;On Premise;Restaurant;80435
4663868863554347607;Off Premise;Convenience;80919
5667711384597938917;Off Premise;Club Store;81505
6437056588844184077;Off Premise;Drug;30088
7675366308911405085;On Premise;Mexican Rest;80204
6915143049630619081;On Premise;Bar;80214
6021766434733946226;Off Premise;Package/Liquor;81120
1442854005591270821;Off Premise;Convenience;30107
4503170062033354722;Off Premise;Package/Liquor;80222
3115640481718677057;Off Premise;Convenience;80723
6286139199767800624;On Premise;Other On Premise;80205
2505083171094638594;On Premise;Service Org;81428
4391781923517510688;Off Premise;Grocery;80122
2209167200624556328;On Premise;Bar;81301
8852552279909257498;Off Premise;Convenience;80233
1246802311356281072;Off Premise;Convenience;30019
2989565214487499863;On Premise;Restaurant;80443
1349717152537420644;On Premise;Bar;80501
4637319491248368234;On Premise;Hotel/Motel;30328
5338959279893153142;Off Premise;Convenience;30341
3758153741386954356;Off Premise;Package/Liquor;80260
8881204001186641837;On Premise;Golf - Public;80205
3613946703465928809;Off Premise;Package/Liquor;30013
2627209852738714470;On Premise;Sports/Rec Club;80813
1537982678363386730;Off Premise;Package/Liquor;31328
6403438785377903228;Off Premise;Package/Liquor;81230
5960917774377821124;Off Premise;Convenience;30096
3829933879340327304;Off Premise;Convenience;30039
4565501392096466259;Off Premise;Convenience;30736
1063949640180888129;On Premise;Sports/Rec Club;80427
6550216433706456485;Off Premise;Convenience;30161
921860462462895049;On Premise;Asian;80212
1478317726960858696;On Premise;Restaurant;80910
6538314918396394655;On Premise;Bar;80007
6166931828777030859;On Premise;Restaurant;30143
5658633330855216462;On Premise;Other On Premise;81601
7478905682999414199;Off Premise;Convenience;80134
486521016587554582;Off Premise;Convenience;30043
4204071454034646173;On Premise;Restaurant;80523
6163671957331451104;On Premise;Golf - Public;80751
1726540366753034995;On Premise;Service Org;81211
4514811535389186319;On Premise;Bar;80903
6913674824576218539;On Premise;Restaurant;81501
8652108541483488480;Off Premise;Grocery;30078
2288915518729441712;Off Premise;Package/Liquor;31069
6281480692635949650;On Premise;Bar;80443
8655809687283653758;On Premise;Restaurant;80487
6900536000772352724;Off Premise;Grocery;30136
8924888785538844515;Off Premise;Convenience;30161
7252310923132943843;On Premise;Mexican Rest;30120
9158859866958288485;On Premise;Other On Premise;81520
757807938496784204;Off Premise;Convenience;30032
5815695845314900607;On Premise;Restaurant;81147
6181191236556471568;On Premise;Bar;30338
9027552525517321767;On Premise;Hotel/Motel;30030
2353205173626905038;On Premise;Bar;80223
6622806591808644029;Off Premise;Grocery;80204
7883336740940143459;On Premise;Bar;80526
2474267937307104620;On Premise;Restaurant;80443
6339006430782896835;On Premise;Golf - Public;80123
3530111595417324319;On Premise;Asian;30019
426371163376191464;On Premise;Restaurant;30080
4187014202661413557;On Premise;Golf - Public;80728
1934269161570446909;On Premise;Sports/Rec Club;80422
1541676358996795843;Off Premise;Package/Liquor;80919
2766752061858947037;On Premise;Bar;80210
5343728541925231901;Off Premise;Package/Liquor;80631
4871953259381859475;On Premise;Hotel/Motel;80216
548211385342168253;On Premise;Theatre;80829
630116617617214255;Off Premise;Package/Liquor;81321
777751386795908127;On Premise;Pizza;80202
1746950605719190659;On Premise;Restaurant;80202
4487023239037490973;Off Premise;Convenience;81067
7165263280410237226;On Premise;Bar;80230
2274859629623393546;Off Premise;Package/Liquor;80459
3499737298970616647;Off Premise;Convenience;30736
3855379009918138509;Off Premise;Convenience;30093
6551059836213893501;Off Premise;Convenience;30721
555508342152174504;On Premise;Restaurant;80302
3852556402733517087;Off Premise;Convenience;80918
6085396434351140272;Off Premise;Super Center;80108
1258381104661152027;Off Premise;Convenience;80205
7775634555318683670;On Premise;Restaurant;30312
4359698938165623242;Off Premise;Convenience;80010
9040806412561144105;Off Premise;Package/Liquor;30066
8002302645994861443;Off Premise;Convenience;30087
1760061108918372751;Off Premise;Grocery;80401
2664551748133225600;On Premise;Mexican Rest;30114
2970803938892642239;Off Premise;Convenience;30188
5535930061340823573;Off Premise;Grocery;80012
4102138029177724398;Off Premise;Convenience;30338
720475986323101846;On Premise;Billiard/Bowling;30024
5348107559236607380;On Premise;Asian;80203
3391297416579566634;On Premise;Restaurant;80631
4940367219393754823;Off Premise;Grocery;80525
2033427425499025528;On Premise;Bar;80443
8831399573113700748;Off Premise;Convenience;30736
3013478787088887656;Off Premise;Package/Liquor;80003
5264954619540741368;On Premise;Bar;80004
4273714488421100302;Off Premise;Convenience;80020
7428160726459908386;On Premise;Asian;80232
855347924505731001;Off Premise;Grocery;80124
4425823220095916488;On Premise;Restaurant;30047
4328195812460345593;On Premise;Hotel/Motel;80237
4344636887610514217;Off Premise;Convenience;80013
1584096977117832478;On Premise;Billiard/Bowling;80123
3091504637051637530;On Premise;Special Event;81003
7697996222188171051;Off Premise;Convenience;30035
8513756246257342146;Off Premise;Convenience;30341
7974481430422228527;On Premise;Bar;31401
8537720792441878474;Off Premise;Package/Liquor;80226
1855310691306555578;Off Premise;Convenience;30019
7054054673091344185;On Premise;Italian;30305
7058407295621189645;On Premise;Italian;30114
4844892696807331006;On Premise;Bar;80821
5565357472093505838;Off Premise;Convenience;30329
5478988041898789786;On Premise;Restaurant;30742
5916772096085572451;Off Premise;Convenience;80549
8140975891861138288;Off Premise;Package/Liquor;80517
2667233195222629073;Off Premise;Package/Liquor;30319
1014193251406137666;Off Premise;Convenience;80212
3398375156411132926;On Premise;Other On Premise;80440
2021061799075127103;On Premise;Bar;80222
6828364968983051539;On Premise;Mexican Rest;30120
5854668342415362396;On Premise;Bar;80401
1244398389906478092;Off Premise;Package/Liquor;30064
6440134969752172737;Off Premise;Package/Liquor;30141
721766160545543154;On Premise;Bar;80206
7612947097887153973;Off Premise;Package/Liquor;80220
6902173233781994401;Off Premise;Drug;30022
3594257812194120878;On Premise;Bar;80202
6780756779442586044;On Premise;Restaurant;80210
1325067527752104054;On Premise;Restaurant;80501
6549259144527415995;On Premise;Mexican Rest;81008
659128636669885168;Off Premise;Convenience;30188
1471176837437738871;Off Premise;Package/Liquor;30233
1660125045370998546;On Premise;Italian;80016
9057215449417182894;Off Premise;Package/Liquor;80504
2867210267659653721;Off Premise;Convenience;80914
447181414622916327;On Premise;Mexican Rest;80440
9012434844717303746;Off Premise;Super Center;30316
3735624710487811128;Off Premise;Convenience;30124
3521648747266480905;Off Premise;Convenience;30281
8361776608676629071;On Premise;Billiard/Bowling;80112
7292311818864891188;On Premise;Billiard/Bowling;30052
1544003263307590560;On Premise;Restaurant;80226
78885588287754244;Off Premise;Grocery;80129
9179809598792994684;Off Premise;Package/Liquor;81521
4617434900675089020;Off Premise;Package/Liquor;30030
814337560738345822;Off Premise;Convenience;30107
3349417450905511309;Off Premise;Grocery;80230
5383054535574320745;On Premise;Restaurant;80016
6799006992108391835;On Premise;Special Event;80238
2191075960656025854;On Premise;Restaurant;81230
6554397922184914154;On Premise;Restaurant;80134
512529968546892750;Off Premise;Convenience;80918
1951081987958608514;On Premise;Other On Premise;80754
7639197704273010410;Off Premise;Package/Liquor;80227
533943243066695925;Off Premise;Package/Liquor;80810
5305170495817145662;On Premise;Restaurant;81130
1797502893468145691;Off Premise;Drug;30047
5437299530122398744;Off Premise;Package/Liquor;80918
9040439021109290506;On Premise;Special Event;81004
8025483689356056644;Off Premise;Convenience;80236
5875628296967273776;On Premise;Special Event;81005
8637370104667456355;On Premise;Korean;30096
3417540415271067669;On Premise;Night Club;30096
8494830397890992616;On Premise;Restaurant;30319
7665685664557756907;On Premise;Golf - Public;30120
9157250895007969255;On Premise;Asian;30096
2151350372952985536;Off Premise;Grocery;80010
7559944121563916532;On Premise;Bar;81054
4166979103750013559;On Premise;Restaurant;81401
3058519152349281474;On Premise;Bar;80424
4300273724867576914;On Premise;Italian;80226
5521344179401550310;Off Premise;Convenience;80549
985344997403686549;On Premise;Asian;80220
2961640006807937274;On Premise;Restaurant;80026
88472223614755218;Off Premise;Package/Liquor;30329
996054429407066849;On Premise;Asian;80206
1690310260431936921;On Premise;Italian;80126
8985383407742162924;Off Premise;Convenience;81006
515076508346655767;On Premise;Other On Premise;81521
5631806004833350015;On Premise;Pizza;80424
1433415652206982000;On Premise;Restaurant;30044
7845748808613995375;On Premise;Hotel/Motel;80446
1897297998584283826;On Premise;Bar;80487
8412840098009687210;Off Premise;Super Center;80219
2154285972033468182;Off Premise;Package/Liquor;81611
3578698811952461558;Off Premise;Convenience;30083
35404809990265829;On Premise;Mexican Rest;30318
7802010859488261734;On Premise;Pizza;30720
7380971690479136310;On Premise;Restaurant;80031
918313046633843718;Off Premise;Package/Liquor;80222
4391262171735132357;Off Premise;Grocery;80920
9111008829836701107;On Premise;Mexican Rest;30519
8214872492238894538;On Premise;Airline/Airport;80249
7021203247646497292;On Premise;Restaurant;80910
4072303841483733842;Off Premise;Convenience;30058
2961287750670585960;On Premise;Restaurant;80127
3369017856204601832;Off Premise;Package/Liquor;30319
5531143385021949579;On Premise;Bar;80215
4652192478203264003;On Premise;Theatre;80111
2095142778555781316;On Premise;Hotel/Motel;31401
3115981004575263152;Off Premise;Package/Liquor;80228
333658822406562847;Off Premise;Convenience;80134
1233455744855250593;On Premise;Restaurant;80909
8976965331754934887;Off Premise;Convenience;30340
6479053149205043029;Off Premise;Convenience;80751
6115615283401127361;Off Premise;Package/Liquor;80123
6695211316245866525;Off Premise;Convenience;30540
4357945347017531219;Off Premise;Grocery;80205
3759694734493206544;On Premise;Bar;80918
6005180020737106324;On Premise;Italian;80525
8837777870874842353;On Premise;Restaurant;80524
6884745691501384703;Off Premise;Package/Liquor;81201
3986649793127276924;On Premise;Restaurant;30318
1524481204254748879;Off Premise;Grocery;30534
3584574731685736846;On Premise;Banquet/Caterer;80204
2510354233188642867;Off Premise;Package/Liquor;80015
8603871874700419200;Off Premise;Convenience;80234
488460055549493044;Off Premise;Other Off Premise;81601
1302305314292549419;Off Premise;Convenience;30047
1569682763736738510;On Premise;Restaurant;80524
1726907794121836912;On Premise;Bar;81621
2326900138814309082;Off Premise;Convenience;30114
7067644823072946604;Off Premise;Convenience;30720
6077374529664932388;Off Premise;Convenience;80012
4705031564831530861;On Premise;Bar;80104
9099047454458093289;On Premise;Mexican Rest;30005
444982752412772317;On Premise;Italian;30601
1127216391803922993;Off Premise;Package/Liquor;80221
441343723662920722;Off Premise;Convenience;80002
4301728583371672533;On Premise;Mexican Rest;30084
8082106484991775930;On Premise;Mexican Rest;30705
5491055772674420234;On Premise;Restaurant;30324
7724768451416611133;Off Premise;Package/Liquor;80537
5337787518866138304;Off Premise;Drug;30033
8799190191912850925;Off Premise;Super Center;30045
2185285207194552085;Off Premise;Super Center;80525
350151691106544146;Off Premise;Convenience;30120
8077937244455080292;Off Premise;Package/Liquor;31901
4140121981731392554;On Premise;Restaurant;30312
5692157203254616274;On Premise;Restaurant;80435
2400079893933697284;On Premise;Night Club;30047
7734470660377155715;On Premise;Other On Premise;81433
875159773779203214;Off Premise;Convenience;30345
717151186635822897;Off Premise;Convenience;30721
4973535610299095695;On Premise;Restaurant;80014
1371915337291579176;On Premise;Golf - Private;80016
2139701637309991867;On Premise;Restaurant;80005
2545982624506157431;On Premise;Mexican Rest;80027
6026025623425933037;Off Premise;Super Center;30087
6237556437054190815;On Premise;Restaurant;30165
4828791868356484132;On Premise;Restaurant;80525
2251574325765595232;On Premise;Bar;80807
134159747793702396;Off Premise;Package/Liquor;81632
8036033120606405827;Off Premise;Package/Liquor;81504
2385438664927959808;Off Premise;Package/Liquor;80525
1862361129315519137;On Premise;Theatre;80537
6612449902166412972;On Premise;Restaurant;80701
564087289365727896;Off Premise;Package/Liquor;80918
1835624766245503996;Off Premise;Package/Liquor;30141
6738192593556974796;Off Premise;Convenience;80221
7214037489475996073;Off Premise;Convenience;30161
304559717390607471;Off Premise;Drug;80202
813365982507680742;On Premise;Bar;81504
11848942062290262;Off Premise;Convenience;30728
8170312511200311464;On Premise;Italian;80011
7908336925263127221;On Premise;Restaurant;80124
1849793799575613336;Off Premise;Package/Liquor;30201
299139305830660281;Off Premise;Convenience;30115
4455974342024084060;Off Premise;Package/Liquor;81140
7879037681573912310;Off Premise;Grocery;30728
6669163453955643386;On Premise;Restaurant;30305
6463142381827774446;On Premise;Coffee House;80002
5623399949072329113;Off Premise;Package/Liquor;30014
6715926144411304970;Off Premise;Non-Traditional;30071
7317129387193017012;Off Premise;Convenience;80020
8905334862473342185;On Premise;Bar;80535
7237064861462899261;On Premise;Bar;80219
2651354253080257939;On Premise;Other On Premise;80123
5515385555698157695;On Premise;Restaurant;80482
4685589675618170232;On Premise;Restaurant;30320
8431960162996123009;On Premise;Bar;31901
1437007400774401507;On Premise;Restaurant;80452
8671263462168832626;On Premise;Mexican Rest;30013
4234226719241023381;Off Premise;Grocery;30047
4186800289587089988;Off Premise;Grocery;30165
7454909109079023664;On Premise;Bar;80401
2975686208499116703;Off Premise;Convenience;30345
8251666647230177429;On Premise;French;30024
8513288818123922251;On Premise;Bar;80906
8047566603186664303;On Premise;Bar;30143
1607417235606931979;Off Premise;Grocery;80401
515094503950389361;On Premise;Restaurant;80503
1675964131134128393;Off Premise;Package/Liquor;80470
8414140666410502391;Off Premise;Convenience;30047
1324962437439232131;On Premise;Restaurant;80202
5879452269498628018;On Premise;Mexican Rest;80014
2379568031267772449;Off Premise;Convenience;80247
396583273463924523;On Premise;Restaurant;80920
6866310750122800651;On Premise;Restaurant;81301
2811049828927674648;Off Premise;Convenience;30032
2051474934296289205;Off Premise;Convenience;30083
1281200840240220503;On Premise;Restaurant;80302
1807684588365528291;On Premise;Other On Premise;80122
472410055384694198;On Premise;Bar;30313
2181012695202217871;On Premise;Restaurant;30339
1269002627233928418;On Premise;Hotel/Motel;80112
7246918697142135745;Off Premise;Package/Liquor;80915
6449858876830309772;On Premise;Other On Premise;80202
6181830888916953162;Off Premise;Super Center;30044
3200672665454072173;Off Premise;Package/Liquor;30324
150525366131914550;On Premise;Barbeque;30188
7652179038096289879;Off Premise;Drug;80909
3777743514622671125;Off Premise;Package/Liquor;81122
1960408519848112737;On Premise;Stadium/Concession;80903
2689525673033450327;Off Premise;Convenience;80122
8157583606688215263;Off Premise;Package/Liquor;81637
6524836988898876775;Off Premise;Convenience;80126
5153359326396604570;Off Premise;Convenience;80110
4204365913536986691;On Premise;Restaurant;30705
3394332860645323789;On Premise;Special Event;30114
3856735647851780317;Off Premise;Bodega;30071
5347503717876487442;Off Premise;Convenience;80112
6665990982378120202;On Premise;Restaurant;80525
7771780185101169047;On Premise;Restaurant;80514
7055215442726534827;On Premise;Mexican Rest;80446
2730021962893710892;On Premise;Pizza;80110
4982348357321520530;On Premise;Hotel/Motel;81073
3062817088818857303;Off Premise;Drug;30084
4330787469502756310;On Premise;Restaurant;80222
7882858743003815167;On Premise;Stadium/Concession;80249
3348404215642073695;On Premise;Golf - Public;80634
423625673402901535;On Premise;Restaurant;80104
3788276038717008921;Off Premise;Package/Liquor;80906
184836000690799017;Off Premise;Other Off Premise;80206
6498897862212395835;Off Premise;Package/Liquor;80305
4226127322675867434;On Premise;Restaurant;81321
4445073038488362073;Off Premise;Drug;30087
7025799242509249431;Off Premise;Convenience;30701
8852496138877851896;Off Premise;Package/Liquor;80501
4143814823328404761;Off Premise;Convenience;80249
8624119712386548319;Off Premise;Convenience;30087
8441997868558391587;On Premise;Restaurant;30346
8857533028307953134;Off Premise;Convenience;30058
4034118479906551571;On Premise;Bar;80701
6174042080198415356;On Premise;Bar;80134
749256800009244873;On Premise;Restaurant;80113
6904577606073708800;On Premise;Asian;80403
4782734760540687788;On Premise;Mexican Rest;30097
5907357606476586423;On Premise;Restaurant;80601
1192398290257557557;On Premise;Other On Premise;80444
5621761294487771160;Off Premise;Convenience;30752
1498906117248784219;Off Premise;Convenience;80466
4623497592720744969;On Premise;Bar;80002
565939250015924348;On Premise;Theatre;30319
7372957144378037709;Off Premise;Convenience;30752
8695088888289882294;On Premise;Golf - Private;80016
1480190892614684726;On Premise;Mexican Rest;80127
3262486451585943892;On Premise;Restaurant;30324
2454819334573554002;On Premise;Restaurant;80123
7174985213642085860;Off Premise;Club Store;30329
8211821976336838349;On Premise;Restaurant;30097
166232939122554676;Off Premise;Convenience;80634
5397452704974879108;On Premise;Bar;80517
8230217505620658468;On Premise;Restaurant;30075
6971027434725117489;Off Premise;Convenience;80828
5799541349267411001;On Premise;Restaurant;80517
4382154903137951155;On Premise;Bar;30518
2860590497914593682;Off Premise;Package/Liquor;30032
3787902479149927998;Off Premise;Convenience;30044
604903699519868147;Off Premise;Package/Liquor;30701
6067180495125510237;On Premise;Asian;30096
6249437315917736135;On Premise;Bar;80202
8833738232010309862;On Premise;Restaurant;31522
3008336935215356893;On Premise;Mexican Rest;30029
1639337659225408014;On Premise;Restaurant;81004
2139909854768305769;On Premise;Asian;80903
2196359605461590076;Off Premise;Grocery;80906
5296878963422269673;Off Premise;Grocery;30084
626546418169223236;Off Premise;Convenience;80525
6886092967307301658;On Premise;Bar;80524
6262864005783168898;Off Premise;Convenience;81005
7890063038264385766;On Premise;Mexican Rest;30329
5676491361787484159;Off Premise;Convenience;81054
5724387880776123997;On Premise;Bar;30309
8419426911813309134;On Premise;Billiard/Bowling;30341
7922157249919576729;Off Premise;Convenience;80403
746882767719097311;On Premise;Bar;80903
853050925816452932;Off Premise;Grocery;30096
8416854249226802155;Off Premise;Package/Liquor;80015
6857982239582626066;Off Premise;Package/Liquor;80241
1113712380319892896;On Premise;Other On Premise;81620
7257761505944201371;On Premise;Restaurant;30114
8322211107317484688;Off Premise;Package/Liquor;30068
3917106688946674285;On Premise;Bar;80537
8553801460146476415;On Premise;Restaurant;80916
1081393180822530588;On Premise;Mexican Rest;30047
6530124770556553111;Off Premise;Convenience;30736
9004128248733906507;Off Premise;Convenience;80203
2718476389443816154;On Premise;Asian;80550
9093604014380787788;On Premise;Restaurant;80202
9026211485757807382;Off Premise;Package/Liquor;80033
7116874875063620194;On Premise;Restaurant;80487
7565912662309127029;Off Premise;Convenience;30097
3595448367121975086;Off Premise;Convenience;80239
6602512474289788606;On Premise;Bar;80033
2971839492600003625;On Premise;Bar;81224
4407679973154473931;On Premise;Restaurant;30022
6475735464957610266;Off Premise;Grocery;80643
949627971091615500;On Premise;Restaurant;80443
8617401320692504471;Off Premise;Package/Liquor;31709
2773857915687164132;Off Premise;Convenience;80003
3869871828015970304;Off Premise;Drug;30032
7013387717635224960;On Premise;Restaurant;80422
5670126638579160834;On Premise;Music Venue;80216
7841830942452318908;On Premise;Service Org;81212
1682293201887970398;Off Premise;Convenience;30032
3376320828089570859;On Premise;Bar;80759
8482155752151263664;On Premise;Service Org;81003
7549841487931490519;Off Premise;Grocery;30114
1712355034111654752;Off Premise;Drug;80123
7478747408200284483;On Premise;Other On Premise;81611
8918430851857748845;Off Premise;Grocery;30153
4180861995839720960;On Premise;Golf - Private;31906
1787441569048800944;Off Premise;Convenience;30092
119095152443324511;On Premise;Adult Entertainment;30360
3981967378352417057;Off Premise;Convenience;30092
407499393142529976;Off Premise;Package/Liquor;30064
8914440198827215402;Off Premise;Package/Liquor;80211
9012513405937597638;Off Premise;Convenience;80528
7331390982668279950;On Premise;Mexican Rest;80020
4992495307751142841;Off Premise;Package/Liquor;30117
8661167383090496009;On Premise;Restaurant;80301
7383340394147348969;Off Premise;Package/Liquor;30504
8957753727375578994;Off Premise;Drug;80202
1598830929898314194;On Premise;Restaurant;80439
4276996540305136672;On Premise;Italian;30308
5161139930013952005;On Premise;Restaurant;80478
7208040885825191647;On Premise;Restaurant;30315
7251232033015725213;Off Premise;Package/Liquor;81650
934412756648869329;On Premise;Restaurant;80211
3614655937764908388;On Premise;Pizza;30329
2958904407065784002;Off Premise;Package/Liquor;80504
7608074378936891764;Off Premise;Convenience;80816
5015935818198071453;On Premise;Bar;30319
798945658396355204;Off Premise;Package/Liquor;30542
6357502669178807962;On Premise;Bar;80222
5647713081758256880;On Premise;Bar;80302
8084486247113453027;Off Premise;Convenience;80014
2471387361150437235;Off Premise;Convenience;30188
6328172967866188829;Off Premise;Convenience;80401
7413089711963795142;Off Premise;Package/Liquor;80233
4031798633767800401;On Premise;Bar;30022
6550415843270711007;Off Premise;Convenience;80517
5976200007352512391;On Premise;Bar;80111
8415128476723308635;On Premise;Mexican Rest;80022
7548489981666744188;Off Premise;Package/Liquor;80012
7498160905158568375;Off Premise;Package/Liquor;80234
8078962461208226230;Off Premise;Package/Liquor;81641
8987403598502086747;On Premise;Italian;80014
6823623128898707005;On Premise;Race Track;80014
8774780755687709242;On Premise;Restaurant;80517
8139258785995626260;On Premise;Restaurant;81522
5060397210757083867;Off Premise;Super Center;80123
853710656993359706;On Premise;Music Venue;80209
7448207246509846242;Off Premise;Grocery;81122
4650223689019348311;Off Premise;Grocery;30338
482380664573295695;On Premise;Mexican Rest;80203
6942517409588118276;On Premise;Restaurant;80631
686066511778449589;Off Premise;Convenience;81082
7952352818979106899;On Premise;Asian;30096
5764555128695484349;On Premise;Pizza;80501
2122206716347744521;Off Premise;Convenience;30753
4152683332822080425;On Premise;Restaurant;30519
4794115626200430587;On Premise;Mexican Rest;80022
2894047597761553431;On Premise;Bar;81201
4872554962040251054;Off Premise;Convenience;30345
1604316536535135040;On Premise;Sports/Rec Club;80422
997105059065723759;Off Premise;Convenience;30350
8811437269575894239;On Premise;Italian;30114
2482263427804541661;On Premise;Theatre;30720
4805743636498789376;On Premise;Billiard/Bowling;30188
2655721740006618074;On Premise;Restaurant;80863
5414795226931365523;Off Premise;Package/Liquor;80033
2857446417827066710;On Premise;Restaurant;80442
2183109658718263252;On Premise;Golf - Public;80502
6746231247887428818;On Premise;Pizza;80238
6971022632008690915;Off Premise;Convenience;30046
2435477297005392517;On Premise;Italian;30084
5693268287100095482;Off Premise;Convenience;30178
21749645807194235;Off Premise;Convenience;80233
3716417036350132563;On Premise;Restaurant;80126
3705139426910964048;Off Premise;Package/Liquor;80816
2888865180893061730;Off Premise;Convenience;80920
3077989005157513716;On Premise;Hotel/Motel;80920
5578825348271362469;Off Premise;Convenience;81052
4514446395890400229;On Premise;Bar;81435
5027745411993218085;On Premise;Special Event;30513
5204033608256417078;On Premise;Bar;30047
83859874137343880;On Premise;Restaurant;80205
1521131821117097309;On Premise;Mexican Rest;80922
3678948701410214051;On Premise;Mexican Rest;30009
3069365945500204007;On Premise;Other On Premise;80817
3256103137552713581;Off Premise;Package/Liquor;30084
3129773836023807786;On Premise;Restaurant;80233
3887009325398165002;Off Premise;Convenience;30341
1746931967441289797;On Premise;Night Club;80211
3718019896465752105;On Premise;Golf - Public;80132
2578798162643170021;On Premise;Restaurant;80817
7217766184709367111;Off Premise;Package/Liquor;81416
385648910222164438;Off Premise;Convenience;80504
588690141832896190;On Premise;Restaurant;80124
8806745877425225541;On Premise;Restaurant;80922
8383677194670672878;On Premise;Hotel/Motel;80205
8907493320003802477;On Premise;Hotel/Motel;80903
1339955178072906475;Off Premise;Convenience;30102
8417762412739531802;On Premise;Restaurant;80031
3073402498123828907;On Premise;Restaurant;80904
7932997863913919144;Off Premise;Package/Liquor;81419
23202507271596472;On Premise;Restaurant;80501
3349111193419896428;Off Premise;Package/Liquor;80919
469151589009422590;Off Premise;Package/Liquor;81039
8403678237547658800;On Premise;Italian;30319
2352672626100922873;Off Premise;Convenience;81101
1948406509499656113;On Premise;Hotel/Motel;30121
8413814135047618606;On Premise;Bar;30188
8491371404513666102;Off Premise;Grocery;31021
3172267593209019312;On Premise;Restaurant;80525
497085614698500417;On Premise;Restaurant;81224
6387146671481639573;On Premise;Restaurant;80123
3254105008075667876;Off Premise;Package/Liquor;80127
7223681021594672489;On Premise;Hotel/Motel;30092
8766911316486842820;On Premise;Restaurant;80424
6592147990458613483;On Premise;Hotel/Motel;30329
7205217923610228924;On Premise;Bar;81055
