produto;categoria;descricao;tipos;label;subcategoria;marca;fabricante
9157650129804403839;Distilled Spirits;FOUR FREEDOMS GIN 6/1.75ML 80PF;Distilled Spirits;;Gin;Four Freedoms Gin;Sazerac Spirits
9145542970994664509;Distilled Spirits;ANZA SILVER TEQUILA 12/1L 80PF;Distilled Spirits;Core;Tequila / Mezcal;Anza Silver Tequila;Sazerac Spirits
6164152947277643858;Wine;AYRES PERSPECTIVE PINOT NOIR 2020;Wine < 14 %;Discontinued;Red Wine;Ayres Perspective Pinot Noir;Ayres Vineyard
8305459298223016355;Package;STELLA ARTOIS 4/6/11.2 CN;Package;;Lager;Stella Artois;AB Anheuser Busch Inc
1292978767953035177;Draft;BLACK TOOTH BREAKFAST STOUT 1/6 BBL;Draft;;Stout & Porter;Black Tooth Breakfast Stout;Black Tooth Brewing Company
867103105186422220;Wine;BODEGAS FAMILIARES MATARROMERA WIN TEMPRANILLO NA;Non Alcohol;Discontinued;Red Wine;Bodegas Familiares Matarromera WIN Tempranillo;WINC
3674428201755192970;Distilled Spirits;THE FIGHTING 69TH - COLUMBUS BEVERAGE;Distilled Spirits;In&Out;Irish Whiskey;The Fighting 69th - Single Barrel;Sixty Nine Regiment Brands
2834294444461284908;Distilled Spirits;DRINKWORKS CC CUBAN DAIQUIRI 12/4/50ML;Distilled Spirits;Core;Ready-to-Drink;Drinkworks Classic Cuban Daiquiri;AB Drinkworks
6972914798143297886;Distilled Spirits;CUTWATER RTD ORANGE SMASH 6/4 /12 CN;Distilled Spirits-RTD;;Ready-to-Drink;Cutwater Orange Smash;AB Anheuser Busch Inc
4194649515297127708;Wine;BRICK & MORTAR CALIFORNIA ROSE 2018;Wine < 14 %;Discontinued;Rosé Wine;Brick & Mortar California Rose;Brick & Mortar Wines
2584866940179463290;Non-Alcohol;CALYPSO ISLAND WAVE 12/16 NR;Non Alcohol;Core;Juice & Tea;Calypso Island Wave;King Juice
3933131902073934564;Wine;PURCRU PURETY WHITE MERITAGE 2017;Wine < 14 %;Close Out;White Wine;PureCru Purety White Meritage;Scotto Cellars
6819801653865170484;Non-Alcohol;ALANI BREEZEBERRY ENERGY DRINK 12PK CN;Non Alcohol;Core;Energy;Alani Breezeberry Energy Drink;Congo Brands
1369918484729492829;Draft;STELLA ARTOIS CIDRE 1/2 KEG;Draft;;Hard Cider;Stella Cidre;AB Anheuser Busch Inc
4473179518999209337;Non-Alcohol;C4 SMART FREEDOM ICE 12/16 CN;Non Alcohol;Core;Energy;C4 Smart Freedom Ice;Nutrabolt
4875358461376950197;Draft;MONDAY NIGHT BREWING SAINT MONDAY 1/6 KEG;Draft;In&Out;Lager / Pilsner;Monday Night Brewing Saint Monday Helles Lager;Monday Night Brewing
1434272230295404800;Draft;LINE CREEK #CONSERVEGEORGIA HONEY RYE BLONDE 1/6 KEG;Draft;In&Out;Pale Ale;Line Creek #Conservegeorgia Honey Rye Blonde;Line Creek Brewing
379438910988144865;Distilled Spirits;LEADSLINGERS BOURBON;Distilled Spirits;Discontinued;Bourbon Whiskey;Leadslingers Bourbon;AIKO Imports
8306235968263610777;Wine;DELTA CALIFORNIA CABERNET SAUVIGNON 2020;Wine > 14 %;Close Out;Red Wine;Delta California Cabernet Sauvignon;Davis Wines, Llc - Brick & Mortar
8365672334809170122;Distilled Spirits;LONERIDER STRAIGHT TEQUILA CASK FINISH BOURBON;Distilled Spirits;Close Out;Bourbon Whiskey;Lonerider Straight Tequila Cask Finish Bourbon;Lonerider Spirits, Llc
7777087254834518451;Wine;CATALPA MALBEC 2020;Wine > 14 %;Discontinued;Red Wine;Catalpa Malbec;Wine Bridge Imports
4250248584595456030;Non-Alcohol;BLACK RIFLE COFFEE RTD ESPRESSO MOCHA 15OZ CN;Non Alcohol;Core;Other Non-Alcoholic;Black Rifle Coffee RTD Espresso Mocha;Black Rifle Coffee Company
6391481722618827399;Package;FOUR PEAKS PEACH ALE 4/6/12 CN;Package;;Specialty;Four Peaks Peach Ale;AB Anheuser Busch Inc
2671056570799687832;Package;HUTTON & SMITH CRUX-MAS ALE 4/6 CN;Package;Winter Seasonal;Ale;Hutton & Smith Crux-mas Ale;Hutton & Smith Brewing Co
6112002187183588903;Wine;KATE ARNOLD NORTH COAST SAUVIGNON BLANC 2021;Wine < 14 %;Discontinued;White Wine;Kate Arnold North Coast Sauvignon Blanc;Kate Arnold Wines
5426154042197384753;Wine;PURE CRU PINOT NOIR 2017;Wine < 14 %;Specialty;Red Wine;Purecru Pinot Noir;Scotto Cellars
2035075400912173641;Draft;GREEN MAN PORTER 1/6 KEG;Draft;Core;Stout & Porter;Green Man Porter;Green Man Brewing
1768334369923463970;Distilled Spirits;STELLUM COMET RISING - TWM EXCLUSIVE;Distilled Spirits;In&Out;Bourbon Whiskey;Barrell Stellum - Private Label;Barrell Craft Spirits
1133051043784846262;Distilled Spirits;KINGS COUNTY BARREL STRENGTH EMPIRE RYE WHISKEY;Distilled Spirits;Specialty;Other Spirits;Kings County Straight Rye Whiskey;Kings County
2956373361789371897;Wine;CUPCAKE PINOT GRIGIO (BTL);Wine < 14 %;Discontinued;White Wine;Cupcake Pinot Grigio;National - The Wine Group
8878738435160148557;Draft;REFORMATION CINCO DE MAYHEM LAGER 1/2 KEG;Draft;In&Out;Lager / Pilsner;Reformation Cinco De Mayhem Vienna Lager;Reformation Brewery
2329086991268266880;Package;SLOW POUR FISH TAIL BLONDE ALE 6/4 16OZ CN;Package;In&Out;Other Package;Slow Pour Fish Tail Blonde Ale;Slow Pour Brewing Co
2293848265436627168;Draft;10 BARREL PILSNER 1/6 KEG;Draft;;Lager / Pilsner;10 Barrel Pilsner;Tilray Brands
7607316769030696244;Wine;UNICO ZELO FRESH AF NERO 2021;Wine < 14 %;Discontinued;Red Wine;Unico Zelo Fresh AF Nero;Epicurean Wines - Wine
1954595470778985053;Non-Alcohol;DEER PARK 28/700ML PET;Non Alcohol;Core;Water;Deer Park;Nestle Waters
7421176476244619056;Wine;PURPLE HANDS FREEDOM HILL VINEYARD PINOT NOIR 2019;Wine < 14 %;Discontinued;Red Wine;Freedom Hill Vineyard;Purple Hands Winery
2572258331104761040;Distilled Spirits;JOSEPH CARTRON VIOLETTE LIQUEUR;Distilled Spirits;Core;Liqueurs & Cordials;Joseph Cartron Violette;Spiribam
1859466673858834328;Distilled Spirits;99 PEPPERMINT 48/100ML 99PF;Distilled Spirits;;Liqueurs & Cordials;99 Peppermint;Sazerac Spirits
1732977323397607061;Wine;CLAUDIE JOBARD PERNAND VERGELESSES 1ST CRU SOUS FRETILLE 2019;Wine < 14 %;Specialty;White Wine;Claudie Jobard Pernand Vergelesses 1St Cru Sous Fretille;Catamarca Imports
1206500805996151652;Package;SOUTHERN BREWING CO FRUIT FLASH 4/6 CAN;Package;In&Out;Wheat Beer;Southern Brewing Company Fruit Flash Tangerine Wheat;Southern Brewing Co
8030392857471983373;Non-Alcohol;SPARKLING ICE BLK/RAZ 12/17 NR;Non Alcohol;Core;Water;Sparkling Ice Black Raspberry;Talking Rain
6486094238119001810;Package;TUCKER BREWING CRUSH IT KIT VARIETY 2/12 CAN;Package;Core;Lager;Tucker Brewing Crush It Kit Variety Pack;Tucker Brewing Company
2156747441968091497;Non-Alcohol;PERRIER SPARKLING LEMON LIME 24/500ML;Non Alcohol;Core;Water;Perrier Sparkling Lime;Nestle
3802182152717559597;Draft;MONDAY NIGHT BREWING FAITHFUL INSTRUCTION 1/2 KEG;Draft;In&Out;Sour / Wild Ale;Monday Night Faithful Instruction;Monday Night Brewing
9070472035388935832;Distilled Spirits;ELEVEN JONES BLENDED WHISKEY 1.75L;Distilled Spirits;Core;Other Spirits;Eleven Jones Whiskey;Sazerac ABA
6645832307304868367;Wine;CHAMPAGNE JEAN-NOEL HATON BRUT ROSE NV;Wine < 14 %;Clearing;Sparkling Wine;Champagne Jean-Noel Haton Brut Rose;French Libations
1868727928165504547;Wine;NEBEL RIESLING 2020;Wine < 14 %;Discontinued;White Wine;Nebel Riesling;Marchetti
5645002264939911240;Package;MICHELOB ULTRA PRICKLY PEAR LIME 2/12/12 CN;Package;Core;Lager;Michelob Ultra Prickly Pear Lime;AB Anheuser Busch Inc
7139423991107377596;Draft;SWEETWATER G13 1/2 KEG;Draft;;Other Draft;SweetWater 420 Strain G13;Tilray Brands
8474405330159452924;Distilled Spirits;99 PEPPERMINT 12/750ML 99PF;Distilled Spirits;;Liqueurs & Cordials;99 Peppermint;Sazerac Spirits
399443717961066553;Distilled Spirits;VEDRENNE PEACH;Distilled Spirits;Discontinued;Liqueurs & Cordials;Vedrenne Peach;Pacific Edge Wine & Spirits
6418740321929174358;Wine;NOLA GRACE SAUVIGNON BLANC 2021;Wine < 14 %;Discontinued;White Wine;Nola Grace Sauvignon Blanc;Scotto Cellars
6213141869918514435;Package;WILD LEAP TOO PURE TO BE PINK 2022 DIPA 4/6/12 CN;Package;In&Out;IPA;Wild Leap Too Pure To Be Pink 2022;Wild Leap Brewing Co
1548407322441665611;Wine;CHI-CHI'S LONG ISLAND ICED TEA WNBS 24/187ML 25PF;Wine < 14 %;;Other Wine;Chi-Chi's Long Island Iced Tea;Sazerac Spirits
2046401612064119732;Wine;BLACK BOX CALIFORNIA PINOT GRIGIO 3 LTR (BTL);Wine < 14 %;Discontinued;White Wine;Black Box California Pinot Grigio;National - Gallo
8914705494619861944;Package;10 BARREL ALL WAYS DOWN DIPA 4/6/12 CN;Package;Discontinued;IPA;10 Barrel All Ways Down;Tilray Brands
5098270587714206373;Wine;THE MESSENGER ADELAIDE HILLS CABERNET SAUVIGNON 2018;Wine > 14 %;Clearing;White Wine;The Messenger Mount Veeder Chardonnay;Art+Farm Wine
6155090997966915912;Draft;MARBLE BREWERY INDIA PALE ALE 1/6 KEG;Draft;;Pale Ale;Marble Brewery India Pale Ale;Marble Brewery
3294244312654134167;Package;BELL'S TWO HEARTED ALE 4/6 CN;Package;Core;IPA;Bell's Two Hearted Ale;NB Bell's Brewery
882966921883790021;Distilled Spirits;SOUTHERN COMFORT BLACK 10/12/50ML PET 80PF;Allocated Spirits;;Other Spirits;Southern Comfort Whiskey 80;Sazerac Spirits
5643510633394984759;Draft;SLOW POUR DESTINATION VACATION COLD IPA 1/4 KEG;Draft;In&Out;Pale Ale;Slow Pour Destination Vacation Cold IPA;Slow Pour Brewing Co
5883406861346895471;Package;BUD LIGHT PLATINUM SELTZER VP 4/6/12 CN;Package;Core;Other Package;Bud Light Platinum Seltzer Variety Pack;AB Anheuser Busch Inc
1561521087257031888;Distilled Spirits;PIEDRA AZUL BLANCO TEQUILA 12/750ML 80PF;Distilled Spirits;;Tequila / Mezcal;Piedra Azul Blanco Tequila;Sazerac Spirits
308234769745393757;Non-Alcohol;PRIME HYDRATION GRAPE 12/16 NR;Non Alcohol;Core;Energy;Prime Hydration Grape;Congo Brands
6612069155441842336;Non-Alcohol;LIQUID DEATH SPARKLING WATER 12/16 CN;Non Alcohol;Core;Water;Liquid Death Sparkling Water;Liquid Death
8079697033889141146;Distilled Spirits;99 BUTTERSCOTCH 12/750ML 99PF;Distilled Spirits;;Liqueurs & Cordials;99 Butterscotch;Sazerac Spirits
5685258434019719220;Non-Alcohol;FABBRI AMARENA CHERRIES TIN- 700, 65OZ-DRAINED;Non Alcohol;Core;Mixers;Fabbri Amarena Cherries;Fabbri USA
7660365129551200715;Distilled Spirits;KIRKLAND SIGNATURE SILVER TEQUILA 6/1.75L 80PF;Distilled Spirits;;Scotch Whisky;Costco;Sazerac Spirits
5875650451012819764;Wine;BIEN NACIDO PINOT NOIR 2016 3 L;Wine < 14 %;Specialty;Red Wine;Solomon Hills Pinot Noir;Bien Nacido & Solomon Hills Estates
6034050490731881177;Package;BUD SELECT 20/12 LN;Package;Discontinued;Lager;Budweiser Select;AB Anheuser Busch Inc
565393919440533561;Distilled Spirits;ANTICO AMARO NOVEIS LIQUEUR 6X750ML;Distilled Spirits;Core;Liqueurs & Cordials;Antico Amaro Noveis Liqueur;T. Edward Wines Ltd
3762659206729322518;Draft;SWEETWATER HAZY IPA 1/6 KEG;Draft;;Pale Ale;Sweetwater Hazy IPA;Tilray Brands
7022963626073220642;Wine;CHATEAU BELGRAVE 2015 1.5 L;Wine < 14 %;Clearing;Red Wine;Chateau Belgrave;Scott Levy
7787929558929755739;Distilled Spirits;99 MYSTERY FLAVOR 10/12/50ML 99PF;Allocated Spirits;;Liqueurs & Cordials;99 Mystery Flavor;Sazerac Spirits
6113103722185387801;Draft;SLOW POUR TWO BEER BUZZ DOUBLE IPA 1/2 KEG;Draft;In&Out;Pale Ale;Slow Pour Two Beer Buzz Double IPA;Slow Pour Brewing Co
4516104920003114891;Distilled Spirits;CALYPSO COCONUT RUM 10/12/50ML 42PF;Allocated Spirits;;Rum;Calypso Coconut Rum;Sazerac Spirits
4959318732536252109;Distilled Spirits;GAUTIER COGNAC VSOP 12/750ML 80PF;Distilled Spirits;;Other Spirits;Gautier;Misc
4293103190276488647;Wine;BABYLONSTOREN CANDIDE CAPE TOWN WHITE BLEND 2020;Wine < 14 %;Discontinued;White Wine;Babylonstoren Candide Cape Town White Blend;Babylonstoren
5863762293562601833;Non-Alcohol;ESSENTIA WATER 24/700 ML;Non Alcohol;Core;Water;Essentia Water;Essentia Water LLC
515374417461010446;Wine;J. WILKES CHARDONNAY 2018;Wine > 14 %;Discontinued;White Wine;J Wilkes Chardonnay;Miller Family Wine Company
3852440710063271952;Wine;HOSPICES DE BEAUNE JADOT SAVIGNY LES BEAUNE 1ER CRU CUVEE FOUQUERAND 2015;Wine < 14 %;Specialty;Red Wine;Hospices De Beaune Jadot Savigny Les Beaune 1Er Cru Cuvee Fouquerand;Catamarca Imports
1328153916179211146;Draft;GREEN FLASH WEST COAST IPA 1/2 KEG;Draft;Core;Pale Ale;Green Flash West Coast IPA;Tilray Brands
847207220726716398;Package;MONDAY NIGHT BREWING LAY LOW IPA 4/6 CN;Package;Discontinued;IPA;Monday Night Lay Low IPA;Monday Night Brewing
1597285254941754128;Distilled Spirits;DONA VEGA TOBALA 750ML;Distilled Spirits;Specialty;Tequila / Mezcal;Dona Vega Tobala;ATTOLLA Spirits
8075785912415059314;Non-Alcohol;KITU SUPER ESPRESSO VANILLA 6/4/6 CN;Non Alcohol;Core;Other Non-Alcoholic;Kitu Super Espresso Vanilla;AB Anheuser Busch Inc
2243024110683647016;Distilled Spirits;MR BOSTON MELON LIQUEUR 12/1L 34PF;Distilled Spirits;;Liqueurs & Cordials;Mr. Boston Blue Curacao Liqueur;Sazerac Spirits
6811597448114159490;Wine;QUINTA DE S. FRANCISCO RED 2018;Wine < 14 %;Discontinued;Red Wine;Quinta De S. Francisco Red;Sarmento's Imports
3136019179140828105;Distilled Spirits;BARRELL BOURBON Z5B2 - WH TOM CAPPELLO;Distilled Spirits;In&Out;Bourbon Whiskey;Barrell Bourbon- Private Label;Barrell Craft Spirits
8102344665763600027;Distilled Spirits;DEVILS BACKBONE RTD SMASH PACK 2/12/12 CN;Distilled Spirits-RTD;Core;Ready-to-Drink;Devils Backbone Smash Pack;AB Anheuser Busch Inc
5652587014214070225;Wine;FRANZIA CRISP WHITE 5LTR (BTL);Wine < 14 %;Discontinued;White Wine;Franzia Crisp White;National - The Wine Group
2604158545944405579;Distilled Spirits;DI AMORE QUATTRO ORANGE 12/750ML 84PF;Distilled Spirits;;Liqueurs & Cordials;Di Amore Quattro Orange;Sazerac Spirits
4084439749257838700;Draft;HUTTON & SMITH DIATOMACEOUS DRY STOUT 1/6 KEG;Draft;In&Out;Stout & Porter;Hutton & Smith Diatomaceous Dry Stout;Hutton & Smith Brewing Co
6577415548613671992;Draft;GOLDEN ROAD MANGO CART 1/2 KEG;Draft;Core;Wheat Beer;Golden Road Mango Cart;AB Anheuser Busch Inc
1527082310248040324;Package;JEKYLL HOP DANG DIGGITY 4/6 CAN;Package;Core;IPA;Jekyll Hop Dang Diggity Southern IPA;Jekyll Brewing
590985052182988728;Draft;DRY COUNTY GRAFFITI IPA 1/6 KEG;Draft;In&Out;Pale Ale;Dry County Graffiti IPA;Dry County Brewing Co
7430895278762963361;Non-Alcohol;V8 SPLASH TROPICAL BLEND 12/16 NR;Non Alcohol;Core;Juice & Tea;V8 Splash Tropical Blend;Campbell Sales Company
3369072163644617639;Distilled Spirits;COPPER FOX PEACHWOOD SINGLE MALT;Distilled Spirits;Core;Other Spirits;Copper Fox Peachwood Single Malt;Copper Fox Distillery
7595020885983012800;Distilled Spirits;DRINKWORKS SIMPLY REFRESHING WHISKEY COLA 12/4/50ML;Distilled Spirits;Core;Ready-to-Drink;Drinkworks Simply Refreshing Whiskey Cola;AB Drinkworks
2873987016116775608;Distilled Spirits;WIGLE ORGANIC PENNSYLVANIA RYE WHISKEY 750ML;Distilled Spirits;Discontinued;Other Spirits;Whiskey;Wigle
6682842312118707473;Wine;LOVE APPLE NV;Wine < 14 %;Close Out;Sparkling Wine;Love Apple;Civ Usa Inc
1928933260603022269;Non-Alcohol;TASTE OF FLA PINA COL 1/32;Non Alcohol;Core;Mixers;Taste of Florida Pina Col;Coastal Beverages
7352132459640626839;Draft;BLACK TOOTH CATTLE KATE SCOTCH ALE 1/2 BBL;Draft;;Other Draft;Black Tooth Cattle Kate Scotch Ale;Black Tooth Brewing Company
2910976334046702887;ABA Spirits;SAZERAC OLD WESTBURY GIN WNBS 1LTR 42PRF;Wine > 14 %;Core;Other ABA Spirits;Old Westbury Extra Dry Gin;Sazerac ABA
2626670828220377410;Draft;MONDAY NIGHT BREWING SCOTCH TROOPER 1/6 KEG;Draft;In&Out;Other Draft;Monday Night Brewing Scotch Trooper;Monday Night Brewing
5281207505880969867;Distilled Spirits;CLASSICA APPLE LIQUEUR 6/750ML 30PF;Distilled Spirits;Discontinued;Liqueurs & Cordials;Classica Apple Liqueur;Sazerac Spirits
9080813653956468806;Wine;LOVO PROSECCO 2021;Wine < 14 %;Discontinued;Sparkling Wine;Lovo Prosecco;Small Vineyards
8233811868112187471;Distilled Spirits;VIVA MEXICO ANEJO;Distilled Spirits;Discontinued;Tequila / Mezcal;Viva Mexico Anejo;Cloud Peak Beverages
1860886829546269254;Wine;SALVESTRIN THREE D CABERNET SAUVIGNON 2018;Wine > 14 %;Discontinued;Red Wine;Salvestrin Cabernet Sauvignon 'Three D';Salvestrin Wine Company
4198161257602296639;Draft;SLOW POUR PENDULUM SWING PILSNER 1/2 KEG;Draft;In&Out;Lager / Pilsner;Slow Pour Pendulum Swing Pilsner;Slow Pour Brewing Co
4849390228846397275;Wine;MOMENTAL PINOT NOIR 2020;Wine < 14 %;Private Label;Red Wine;Momental Pinot Noir;The Wine Group
6705165274451860504;Package;BUD LIGHT SELTZER SOUR VP 2/12 CN;Package;Core;Other Package;Bud Light Seltzer Sour Variety Pack;AB Anheuser Busch Inc
6040357992519822829;Distilled Spirits;WTD SINGLE BARREL - FIVE POINTS BOTTLE - 779371 BOURBON RYE;Distilled Spirits;In&Out;Other Spirits;Wilderness Trail Rye Single Barrel;Campari America LLC - Spirits
6930201505537658723;Distilled Spirits;BARE BONE VODKA 50ML;Distilled Spirits;Discontinued;Vodka;Bare Bone Vodka;Backyard Spirits
4209896267771678124;Draft;JEKYLL SOUR THANGS COCONUT/PINEAPPLE 1/6 KEG;Draft;In&Out;Sour / Wild Ale;Jekyll Sour Thangs Coconut/Pineapple;Jekyll Brewing
2210479931942350280;Distilled Spirits;PAUL MASSON BRANDY VSOP 24/200ML 80PF;Distilled Spirits;;Brandy / Cognac;Paul Masson Brandy VSOP;Sazerac Spirits
1794693243597692364;Distilled Spirits;LA POMMIERE SELECTION CALVADOS 375ML;Distilled Spirits;Core;Brandy / Cognac;La Pommiere Selection;Pacific Edge Wine & Spirits
1501718521781149909;Distilled Spirits;MOLLY BROWN SPICED BOURBON;Distilled Spirits;Discontinued;Bourbon Whiskey;Molly Brown Spiced Bourbon;Molly Brown Spirits
5333542936764985723;Wine;STEWARD OF THE LAND RED BLEND NV 20L KEG;Wine < 14 %;Discontinued;Red Wine;Reynolds Family Winery Merlot;Reynolds Family Winery
6380130375529595465;Package;NB THE PURIST CLEAN LAGER 4/6 CN;Package;Discontinued;Lager;New Belgium The Purist Clean Lager;NB New Belgium
2544641394631946458;Package;KONA PIPELINE PORTER 4/6/12 CN;Package;Fall Seasonal;Stout & Porter;Kona Pipeline Porter;AB Anheuser Busch Inc
4545680102791180990;Distilled Spirits;CHI CHI SKINNY MARGARITA 6/1.75ML 20PF;Distilled Spirits;Discontinued;Ready-to-Drink;Chi-Chi's Variety Pack;Sazerac Spirits
8752906129044353959;Distilled Spirits;PAUL MASSON BRANDY VS 24/375ML 80PF;Distilled Spirits;;Brandy / Cognac;Paul Masson Brandy VS;Sazerac Spirits
1942565271378243068;Wine;THOMAS GEORGE ROSE OF GRENACHE 2017;Wine < 14 %;Discontinued;Rosé Wine;Thomas George Rose Of Grenache_2;Thomas George
7818702849932055319;Distilled Spirits;RYAN'S IRISH CREAM LIQUEUR 6/1.75L 34PF;Distilled Spirits;;Liqueurs & Cordials;Ryan's Irish Cream Liqueur;Sazerac Spirits
3687022493620344759;Draft;JEKYLL HOP DANG DIGGITY 1/6 BBL;Draft;Core;Pale Ale;Jekyll Hop Dang Diggity Southern IPA;Jekyll Brewing
8650278254297129480;Wine;LOCA LINDA TORRONTES 2018;Wine < 14 %;Close Out;White Wine;Loca Linda Torrontes;Crazy Beautiful Wines
3828481002710553478;Package;GEL CLUBTAILS BAHAMA MAMA 12/24 CN;Package;Discontinued;Other Package;Geloso Clubtails Bahama Mama;Geloso Beverage Group
2913304138690085686;Distilled Spirits;NATURAL LIGHT VODKA LEMONADE 12/750ML;Distilled Spirits;Core;Vodka;Natural Light Vodka Lemonade;AB Anheuser Busch Inc
5821197705029212539;Package;ESTRELLA JALISCO CHAMOY MICHELADA 15/25 CN;Package;Core;Specialty;Estrella Jalisco Chamoy Michelada;AB Anheuser Busch Inc
6379495710358179964;Distilled Spirits;STELLUM CUMMING BEVERAGE MART VEGA K7;Distilled Spirits;In&Out;Other Spirits;Barrell Stellum - Private Label;Barrell Craft Spirits
4976804173352834852;Package;BRECKENRIDGE WHOLESALE SAMPLER 2/15/12 CN;Package;;Other Package;Breckenridge Sampler Variety Pack;Tilray Brands
6626264684686873956;Non-Alcohol;SPARKLING ICE KIWI/STB 12/17 NR;Non Alcohol;Core;Water;Sparkling Ice Kiwi Strawberry;Talking Rain
4570988632387137438;Package;BUD ICE 4/6/16 CN;Package;Core;Lager;Bud Ice;AB Anheuser Busch Inc
9186318064019403980;Wine;LOVO FIOR D'ARANCIO DOCG 2020;Wine < 14 %;Close Out;Sparkling Wine;Lovo Fior D'Arancio;Small Vineyards
3268717233155911501;Distilled Spirits;PARROT BAY LONG ISLAND ICED TEA RTD 6/1.75L 30PF;Distilled Spirits;;Rum;Parrot Bay Mango Rum;Sazerac Spirits
4104289278337699394;Package;BECK'S 4/6/12 LN;Package;Core;Lager;Beck's Pilsner;AB Anheuser Busch Inc
6809978677109464768;Distilled Spirits;MEMBERS MARK COUNTDOWN CALENDAR 6/24/50ML 94.6PF;Allocated Spirits;Private Label;Vodka;Members Mark Countdown Calendar Variety Pack;Sazerac Spirits
4955770704305245396;Draft;SWEETWATER 420 EXTRA PALE 1/2 KEG;Draft;Discontinued;Pale Ale;SweetWater 420 Extra Pale;Tilray Brands
2928860141294620310;Draft;MELVIN OLD PAL WHITE ALE 1/2 KEG;Draft;Core;Wheat Beer;Melvin Old Pal White Ale;Melvin Brewing Co
4038445118046224424;Non-Alcohol;TASTE OF FLA SPICY BLOODY MARY 1/32OZ;Non Alcohol;Core;Mixers;Taste of Florida Spicy Blood Mry;Coastal Beverages
4812820769215907968;Distilled Spirits;99 BLACKBERRIES 10/12/50ML 99PF;Allocated Spirits;;Liqueurs & Cordials;99 Blackberries;Sazerac Spirits
7991888232453604386;Distilled Spirits;PARROT BAY KEY LIME RUM 10/12/50ML 90PF;Allocated Spirits;;Rum;Parrot Bay Key Lime Rum 90;Sazerac Spirits
7799556083702025174;Non-Alcohol;JARRITOS LIME 30/12.5 NR;Hispanic;Core;Soda;Jarritos Lime;Novamex
7489347899641202679;Distilled Spirits;SAINT JAMES BLANC 6/1L 110PF;Distilled Spirits;;Rum;Saint James;Misc
2066813215409403726;Draft;REFORMATION HADDY 1/2 KEG;Draft;Core;Wheat Beer;Reformation Haddy;Reformation Brewery
1027752151794664243;Distilled Spirits;CHUM-CHURUM ORIGINAL 750ML;Distilled Spirits;Discontinued;Other Spirits;Chum-Churum Original;Lotte Beverage America - Spirits
1262653040916141762;Distilled Spirits;JUAN BONILLA MI TIERRA SILVER 750ML;Distilled Spirits;Discontinued;Tequila / Mezcal;Juan Bonilla Mi Tierra Silver;Juan Bonilla Imports
1000423277513436210;Draft;REFORMATION A COLD ONE 97.1 PILSNER 1/4 KEG;Draft;Core;Lager / Pilsner;Reformation A Cold One 97.1 Pilsner;Reformation Brewery
394942461171566553;Distilled Spirits;JOSEPH CARTRON CACAO LIQUEUR 50 PROOF;Distilled Spirits;Core;Liqueurs & Cordials;Joseph Cartron Cacao;Spiribam
